Site,Name,Lat,Lon,Start,End,Years,%,AWS
2039,DIMOND GORGE,-17.6667,126.0333,Jan-84,Dec-86,2,67,N
2040,SAUNDERS CREEK,-18.0333,127.9833,Oct-64,Oct-74,7.3,72,N
2041,ORD RIVER REGENERATION STATION,-17.385,128.9231,Jan-62,Oct-97,31.4,88,N
2042,GLENROY,-17.3594,126.1086,Jan-32,Jun-93,25.1,41,N
2043,MOUNT KRAUSS,-18.3368,126.1243,Nov-00,Jan-24,19.6,84,N
2044,LAKE ARGYLE RESORT,-16.1119,128.7414,Jan-69,Jan-24,53,96,N
2045,FOAL CREEK,-17.3167,127.7,Jan-70,Mar-70,0.3,100,N
2046,ADA VALE,-16.95,128.1,Jan-20,Mar-25,4.8,92,N
2047,BEDFORD DOWNS,-17.2631,127.4617,Jan-48,Sep-16,42.3,62,N
2048,FLORA VALLEY,-18.2972,128.4419,Jan-71,Jan-24,46.3,87,N
2049,SOPHIE DOWNS,-18.1947,127.8147,Oct-80,Jan-24,42.5,98,N
2050,SPRINGVALE,-17.7842,127.6853,Jul-18,Jan-24,47.6,45,N
2051,BILLILUNA,-19.5557,127.6661,May-71,Jan-24,26.4,50,N
2052,TROPICAL FARM - ORD RIVER,-15.8367,128.7397,Jan-80,Jun-05,25.5,100,N
2053,LANSDOWNE,-17.6133,126.7442,Oct-47,Jan-24,38.1,50,N
2054,SPRINGVALE WEST,-17.8333,127.2333,Mar-71,Apr-72,0.6,50,N
2055,LEWIS CREEK,-19.1,128.5333,Sep-36,Dec-40,2.8,63,N
2056,KUNUNURRA AERO,-15.7814,128.71,Dec-71,Jan-24,49.2,94,Y
2057,BUNGLE BUNGLE NATIONAL PARK,-17.4206,128.2992,Dec-90,Dec-96,3.2,52,N
2058,EUROTO,-18.35,128.4833,Jan-35,Apr-40,2.5,47,N
2059,RUBY CREEK GOLDMINE,-18.4333,127.75,Jan 1898,Dec-00,2.3,78,N
2060,KINGSTON REST,-16.0397,128.415,Jan-69,Jan-24,43.6,79,N
2061,CARRANYA,-19.3322,127.6367,Jan-63,Jul-23,37.1,61,N
2062,FOX RIVER,-18.4233,128.0308,Sep-75,Feb-11,31.9,90,N
2063,LARRANGANNI,-19.8761,128.4581,Mar-76,Aug-78,2.5,100,N
2064,ARGYLE AERODROME,-16.638,128.4516,Jan-85,Jan-24,38.7,99,Y
2065,MORNINGTON,-17.3936,126.2281,Aug-91,Jan-03,5.5,48,N
2066,CARRANYA 2,-19.1764,127.6497,Nov-91,Oct-93,1.6,79,N
2067,KUNUNURRA CHECKPOINT,-15.9816,128.9991,Dec-93,Jan-24,28.9,96,N
2068,MARION DOWNS,-17.0716,126.8494,Jun-09,Jan-24,14.7,100,N
2069,KACHANA,-16.4433,127.7836,Jul-93,Jan-24,28.2,92,N
2070,PHILLIPS RANGE,-16.8828,126.1267,Jan-94,Dec-94,0.9,92,N
2071,HALLS CREEK COMPARISON (OLD),-18.2303,127.6625,Jan-96,Dec-00,2.8,55,N
2072,BEDFORD DOWNS AIRSTRIP,-17.2797,127.4648,Sep-11,Jan-24,11.9,96,N
2073,MARGARET RIVER AIRSTRIP,-18.6217,126.8831,Nov-09,Jan-24,14.3,100,N
2074,MOOLA BULLA AIRSTRIP,-18.1958,127.4948,Sep-11,Jan-24,12.4,100,N
2075,BULKA,-19.0372,126.0933,Jan-95,Jan-22,17.3,64,N
2076,MORNINGTON,-17.5115,126.1095,Oct-04,Dec-22,16.3,89,N
2077,SIDDINS CREEK,-16.9203,126.5511,Nov-09,Jan-24,13.8,96,N
2078,LARRAWA AIRFIELD,-18.8318,126.5301,Jun-11,Jan-24,12.6,99,N
3000,BEAGLE BAY,-16.9807,122.6662,May-02,Mar-15,95.3,84,N
3001,COUNTRY DOWNS,-17.2767,122.5711,Nov-69,Jan-24,51.8,95,N
3002,BROOME POST OFFICE,-17.95,122.25,Apr 1889,Oct-53,63.8,99,N
3003,BROOME AIRPORT,-17.9475,122.2352,Aug-39,Jan-24,83.7,99,Y
3004,CAPE LEVEQUE,-16.3961,122.9278,Aug-17,Oct-18,90.2,89,N
3005,FAIRFIELD STATION,-17.5725,125.0675,Feb-07,Feb-12,51.4,49,N
3006,FITZROY CROSSING COMP.,-18.1919,125.5644,Mar 1893,Jan-00,106.8,100,N
3007,DERBY POST OFFICE,-17.3044,123.6292,Nov 1883,Jun-97,105.3,93,N
3008,ELLENDALE,-17.9281,124.8108,Apr-19,Jan-20,64.2,64,N
3009,JUBILEE DOWNS,-18.3547,125.3033,Jan-37,Feb-23,84.1,98,N
3010,KIMBERLEY DOWNS,-17.3927,124.3574,Oct 1885,Jun-23,105.2,76,N
3011,LEOPOLD DOWNS,-17.7535,125.3807,Jul 1899,Jan-12,91.5,81,N
3012,LIVERINGA UPPER,-18.0483,124.1728,Nov 1898,Dec-00,87.3,85,N
3013,LULUIGUI,-18.145,124.0275,Nov-20,Mar-80,42,71,N
3014,GOGO STATION,-18.2914,125.5869,Dec-08,Jan-24,111.7,97,N
3015,MEDA,-17.368,123.9956,Jun-11,Dec-23,95.2,84,N
3016,MOUNT ANDERSON,-18.0358,123.9286,Oct 1899,Feb-84,75.3,89,N
3017,MOUNT HOUSE STATION,-17.0516,125.7051,Nov-23,Jul-20,94.4,98,N
3018,MYROODAH,-18.1225,124.2692,Sep-07,Jun-23,108.3,93,N
3019,NAPIER DOWNS,-17.3305,124.8166,Jan-12,Jan-24,94.8,85,N
3020,NERRIMA,-18.4922,124.3992,Feb-35,Oct-21,41.4,48,N
3021,NOONKANBAH,-18.4875,124.8231,Nov 1898,Oct-92,75.2,80,N
3022,QUANBUN DOWNS,-18.3817,125.2267,Sep 1898,Dec-19,114.7,94,N
3023,ROEBUCK PLAINS,-17.9315,122.4722,Jan-02,Dec-19,98.7,84,N
3024,UDIALLA,-17.9464,123.7383,Sep-30,Jan-24,65.8,70,N
3025,COCKATOO ISLAND,-16.0992,123.6161,Jan-48,Jul-14,33.7,51,N
3026,YEEDA,-17.6153,123.6483,Jan 1890,Feb-20,123.4,95,N
3027,FOSSIL DOWNS,-18.1386,125.7764,Oct-03,Jan-24,112.3,93,N
3028,ANNA PLAINS,-19.2536,121.4861,Jan-08,Jan-24,115.8,100,N
3029,FRAZIER DOWNS,-18.7983,121.7125,Nov-10,Jan-78,47.6,71,N
3030,BIDYADANGA,-18.6844,121.7803,Jan 1891,Jan-24,129.3,97,N
3031,LOMBADINA MISSION,-16.5167,122.8908,May-46,Jun-93,34.9,74,N
3032,DERBY AERO,-17.3706,123.6611,Mar-51,Jan-24,68.4,94,Y
3033,BLINA,-17.7472,124.5283,Jan-38,Dec-20,66,79,N
3035,MUNJA,-16.4,124.95,Jan-22,Dec-48,24.9,92,N
3036,BROOME QUARANTINE STATION,-18,122.2167,Jul-52,Feb-53,0.7,99,N
3037,MUNKAYARRA,-17.4333,123.75,Apr-58,Sep-58,0.4,83,N
3039,SILENT GROVE,-16.9667,125.3,Dec-59,Dec-72,12.3,94,N
3040,CAMBALLIN,-17.9903,124.1922,Nov-58,Jun-23,50.6,78,N
3041,KILTO STATION,-17.6924,122.7127,Jul-62,Jan-24,39.6,64,N
3042,TALGARNO,-19.2833,121.5,Sep-59,Dec-63,4.2,96,N
3043,CHRISTMAS CREEK HOMESTEAD,-18.8772,125.9207,Mar-60,Dec-22,56.2,89,N
3044,BROOKING SPRINGS,-18.1103,125.6431,Dec-01,Jan-20,38.2,32,N
3045,CALANGADIE,-19.1,121.5,Feb 1898,Feb-39,14.8,36,N
3046,CHERRABUN,-18.4833,125.3333,Jan-06,Feb-72,16,24,N
3047,DAMPIER DOWNS,-18.4,123.1,Dec-29,Nov-40,11,100,N
3048,CHERRABUN,-18.9159,125.5264,Dec-62,Mar-23,44.9,74,N
3049,ISADELL DOWNS,-16.9,125.7,Nov-13,Apr-27,13.5,100,N
3050,LIVERINGA LOWER,-17.95,124.1667,Apr 1887,Dec 1896,7.7,79,N
3051,MOUNT BARNETT,-16.7372,125.9086,Jan-08,Jan-24,57,49,N
3052,MOUNT HART STATION,-16.8214,124.9151,Jul-25,Jan-24,48.5,49,N
3053,OBAGAMA,-16.7,123.9833,Nov 1895,Mar-34,38.4,100,N
3054,POINT TORMENT,-17.1,123.7,Oct-04,Jan-23,9.2,50,N
3055,ROLLAH,-18.7,121.75,Aug-07,Feb-19,11.6,100,N
3056,THANGOO,-18.1792,122.3583,Dec 1892,Feb-14,77.8,64,N
3057,CYGNET BAY,-16.4513,123.0087,Dec-63,Jun-23,59.6,100,N
3058,MILLAJIDDIE,-18.8333,124.95,Jan-64,Apr-69,2.3,44,N
3059,NITA DOWNS,-19.0861,121.6764,Sep-65,Jan-24,38.2,65,N
3060,ARDJORIE,-18.7667,123.6833,Jan-66,Oct-73,7.3,93,N
3061,KIMBOLTON RANGE STATION 1,-16.695,123.8625,Dec-66,Jul-70,3.6,98,N
3062,BEVERLEY SP,-16.5833,125.4833,Sep-59,Dec-67,8.3,100,N
3063,CHARNLEY RIVER,-16.7164,125.46,Jan-68,Jan-24,52.1,93,N
3064,FITZROY A.I.M,-18.1667,125.5833,Jan-70,Dec-72,3,100,N
3065,KALYEEDA,-18.55,124.7167,Jan-73,Sep-74,0.6,33,N
3066,PORT SMITH,-18.5175,121.8072,Jan-73,Jan-24,48.6,95,N
3068,DAMPIER DOWNS,-18.5077,123.4561,Aug-73,Dec-23,49.7,98,N
3069,KOOLAN ISLAND,-16.1306,123.7764,Mar-74,Sep-92,18.6,100,N
3072,ONE ARM POINT,-16.4508,123.0653,Jan-75,Dec-89,15,100,N
3073,KIMBOLTON,-16.6872,123.8375,Aug-70,Jun-22,36.2,70,N
3074,YAKKAMUNGA,-17.9343,123.4736,Jan-83,Dec-20,30,79,N
3075,DERBY MAIN ROADS,-17.3136,123.6497,Sep-83,Jan-24,23.8,59,N
3076,WESTERN FIELD,-19.3283,125.3886,Sep-83,Jul-85,1.9,100,N
3077,MOWLA BLUFF,-18.5914,123.6133,Jan-85,Dec-91,7,100,N
3078,CADJEBUT,-18.7267,125.9875,Dec-87,Oct-03,14.8,93,N
3079,SHELAMAR,-18.9897,121.7208,Jul-89,Jan-17,11.7,42,N
3080,CURTIN AERO,-17.5768,123.8297,Mar-90,Jan-24,29.2,86,Y
3081,CURTIN,-17.5778,123.8222,Apr-90,Jul-95,5.3,98,N
3082,KIRBY GARDENS,-17.8672,122.3631,Mar-91,Mar-09,18.1,100,N
