Site,Name,Lat,Lon,Start,End,Years,%,AWS
10888,DWARDA DOWNS,-32.8125,116.6931,Jul-82,Oct-22,40.3,100,N
10889,MORDETTA,-32.885,118.6347,Jan-72,Jan-24,50.3,97,N
10890,GNAMMA,-33.6467,120.4319,Feb-83,Mar-04,21.2,100,N
10891,STRATHMORE,-34.3,117.5,Jul-28,Dec-69,34.5,83,N
10892,BERAKIN FOREST,-31.9,116.4,Aug-31,Jan-36,4,89,N
10893,THE WARRIUPS,-34.3078,117.4347,Jan-06,Dec-23,90.7,77,N
10894,ALLAN ROCKS,-32.6322,119.0958,Jul-67,Apr-23,54.8,98,N
10895,MONTE VISTA,-33.3994,119.9344,Jan-68,Dec-23,55.4,99,N
10896,YOOROOGA,-33.4331,120.1178,May-84,Dec-23,39.7,100,N
10897,NALYERLUP,-34.2206,118.5042,Nov-83,Jan-24,40.3,100,N
10898,AKOONAH,-33.2297,119.9242,Nov-83,Aug-15,26.8,84,N
10899,LAKE GRACE CATCHMENT,-33.1044,118.4897,Jul-75,Dec-02,27.3,99,N
10900,DESERT FRINGE,-32.9297,119.8367,Feb-77,Oct-21,39.8,89,N
10901,KARINGAL,-33.8731,118.2003,Feb-75,Dec-16,37.3,89,N
10902,FITZGERALD,-33.7781,119.5019,Feb-89,Jul-09,20.5,100,N
10903,KARINGAL-TINCURRIN,-32.9258,117.7994,Jan-55,Feb-00,43.2,96,N
10904,SWANARA,-32.1717,118.6136,Jan-57,Dec-23,63,94,N
10905,JACUP,-33.8878,119.1092,Jun-94,Jan-24,29.6,100,Y
10906,KUNJIN,-32.3275,117.7206,Aug-70,Dec-84,12.8,89,N
10907,THORNTON PARK,-32.4842,116.7042,Jan-72,Jul-85,10.4,77,
10908,YANGEDINE,-32.0294,116.8742,Nov-00,Jan-24,23.3,100,N
10909,FOLLANS,-32.6756,116.7789,Apr-96,Sep-12,16.4,99,N
10910,WYONNING,-32.6764,117.2708,Jan-97,Sep-21,20.2,81,N
10911,LAKE GRACE,-33.1006,118.4647,Jun-97,Jan-24,26.7,100,Y
10912,YEALERING EAST,-32.5878,117.6408,Nov-00,Jan-24,20.8,89,N
10913,WARUP,-33.3289,117.1844,Mar-97,Aug-98,0.8,50,N
10914,BELLAVISTA,-34.2064,117.7117,Jan-98,Dec-03,5.9,99,N
10915,YORNANING WEST,-32.75,117.0667,Jun-05,Nov-06,1.5,100,N
10916,KATANNING,-33.6856,117.6064,Jan-99,Jan-24,25,100,Y
10917,WANDERING,-32.6722,116.6706,Dec-98,Jan-24,25.2,100,Y
10918,CHILLICUP,-33.9167,117.6125,May-06,Dec-11,5.7,100,N
10919,WILGARRA,-32.6944,116.6135,Mar-11,Jan-24,12.5,97,N
10920,MOUNT WESTDALE,-32.2683,116.6745,Dec-07,Jan-24,16.2,100,N
10921,INGLEBOURNE,-34.2351,118.2224,Jan-07,Jan-24,17.1,100,N
10923,WILLIAMS NORTH,-33.0042,116.8511,Dec-11,Jan-24,11.9,98,N
11000,BALLADONIA 2,-32.45,123.8667,Jan-43,Dec-75,33,100,N
11001,DEAKIN,-30.77,128.965,Sep-17,Mar-83,54.1,82,N
11002,TRANS RAILWAY 857,-31,125.5833,Aug-40,Jul-52,12,100,N
11003,EUCLA,-31.6797,128.8958,Jan 1876,Jan-24,143.4,97,Y
11004,FORREST AERO,-30.8389,128.1139,Aug-30,Mar-95,60.7,94,N
11005,FORREST RAILWAY,-30.85,128.1,Jan-18,Apr-54,36.3,100,N
11006,HAIG,-31.0064,126.0889,Sep-15,Oct-77,59.8,96,N
11007,LOONGANA,-30.9464,127.0356,Nov-15,Dec-90,69.3,92,N
11008,MUNDRABILLA STATION,-31.8433,127.8572,Nov-01,Jan-24,110.4,90,N
11009,NANAMBINIA,-32.6681,123.5831,Nov-06,May-15,100.8,93,N
11010,NOONDOONIA,-32.3114,123.7261,Jan-11,May-15,92.6,89,N
11011,NOONDOONIA O.S.,-32.1461,123.9683,Jul-36,Feb-80,38.1,87,N
11012,NURINA,-30.9875,126.5483,May-21,Jun-73,48.3,92,N
11013,RAWLINNA,-31.0119,125.3294,Sep-15,Apr-02,86.2,99,N
11014,REID,-30.8217,128.425,Aug-40,Jun-89,39.7,81,N
11015,MUNDRABILLA SIDING,-30.9025,127.535,Aug-40,Dec-76,29.2,80,N
11016,MADURA STATION,-31.9269,126.9733,Sep-21,Jan-09,48.6,56,N
11017,BALLADONIA,-32.4569,123.8653,Jan 1891,Mar-22,111.2,85,N
11018,BALBINIA,-33.1,123.6,Jan-02,Mar-28,26.3,100,N
11019,EYRE,-32.2464,126.3008,Jan 1885,Jan-24,94.6,68,N
11020,ISRAELITE BAY,-33.6,123.8,Jan 1885,May-27,42.4,100,N
11021,POINT MALCOLM,-33.8,123.7,Sep-01,Dec-19,18.3,100,N
11022,OLD EUCLA,-31.7117,128.8867,May-02,Jan-24,21.2,97,N
11023,CAIGUNA ASA,-32.2653,125.4894,Jan-62,Jan-01,33.6,86,Y
11025,MOONERA,-31.7219,126.5889,Jan-64,Aug-23,51,85,N
11029,ARUBIDDY,-31.8097,125.9267,Jun-64,Oct-16,52.3,100,N
11030,RAWLINNA HOMESTEAD,-31.0417,125.2164,Jan-64,Feb-18,54.2,100,N
11031,NEVERTIRE,-31.3497,125.2231,Jan-70,Mar-18,47.8,99,N
11032,RAWLINNA DEPOT,-31.5803,125.2019,Jan-70,Feb-18,48.2,100,N
11033,MCTAGGARTS,-31.9178,125.3008,Jan-70,Jan-18,46.8,97,N
11034,BARVESK,-31.6436,124.935,Jan-70,Jan-18,46.6,97,N
11035,BULL CAMEL,-31.1956,124.8481,Jan-70,Jan-18,47.5,99,N
11036,COCKLEBIDDY,-32.0403,126.0964,Dec-30,Jun-88,14.4,25,N
11037,FORREST ROAD,-31.445,127.945,Apr-66,Apr-78,4.7,39,N
11038,NOONERA,-32.0783,127.9367,Sep-66,May-71,4.8,100,N
11039,UANA,-31.6317,127.93,Jan-22,May-71,7.8,16,N
11040,WANTEEN,-31.9681,128.2831,Sep-66,Sep-87,21.1,100,N
11041,SEEMORE DOWNS,-30.7428,125.2936,Jul-37,Dec-18,43.1,53,N
11042,BOOANYA,-32.75,123.6,Jan-25,Dec-32,8,100,N
11043,KINCLAVEN,-30.895,125.5117,May-72,May-81,9.1,100,N
11045,BALGAIR,-31.09,125.6589,Jan-83,Apr-12,28.7,98,N
11046,DERALINYA,-33.1,123.3,Jan-14,Dec-19,6,100,N
11047,WA/SA BORDER VILLAGE,-31.6406,129.0019,Apr-83,Jul-94,6.6,58,N
11048,NIGHTSHADE,-32.1761,125.3953,Oct-84,Feb-18,32.2,96,N
11049,MUNDRABILLA ROADHOUSE,-31.8167,128.2333,Mar-72,Nov-83,11.6,98,N
11050,KYBO,-31.0239,126.5842,Jan-80,Jan-18,35.8,94,N
11051,NO WORRIES,-33.2986,123.0658,Apr-92,Dec-21,28.1,94,N
11052,FORREST,-30.8453,128.1092,Jun-94,Jan-24,29.7,100,Y
11053,RED ROCKS POINT,-32.2028,127.5297,Dec-99,Jan-24,19.4,80,Y
12000,AGNEW,-28.0069,120.5092,Feb-48,Jan-85,36.8,99,N
12001,ALBION DOWNS,-27.2878,120.3919,May-36,Jan-17,71.1,88,N
12002,ANKETELL,-28.0272,118.8472,Aug-15,Dec-75,59.8,99,N
12003,ATLEY,-28.225,119.0703,May-20,Mar-97,71,92,N
12004,WALGOOLAN AVALON,-31.2333,118.5667,Jan-26,Jul-66,38.3,94,N
12005,BLACKHILL,-28.0667,119.5167,Jan-26,Apr-75,45.8,93,N
12006,BODALLIN,-31.3667,118.85,Oct 1899,Sep-76,55,71,N
12007,BOODAROCKIN,-31.0603,118.8367,Jan-35,Dec-22,87.8,100,N
12008,BOOYLGOO SPRING,-27.7228,119.9067,Jul-22,Jul-13,90.3,99,N
12009,NORSEMAN AERO,-32.2147,121.7547,Dec-99,Jan-24,24.2,100,Y
12010,WESTONIA 1,-31.0539,118.7144,Jun-29,Sep-83,46.8,86,N
12011,BULLFINCH,-30.9836,119.0669,Oct-11,Jan-24,112.3,100,N
12012,BULLFINCH NORTH,-30.8,119.1,Jun-25,May-51,25.2,97,N
12013,BULONG,-30.7503,121.7519,Jan 1897,Oct-23,125.8,99,N
12015,TARMOOLA 10 MILE CAMP,-28.3967,121.2356,Dec-03,Aug-19,2.6,16,N
12016,CIRCLE VALLEY POST OFFICE,-33.0833,121.75,Aug-18,Sep-67,38.8,79,N
12017,CIRCLE VALLEY EAST,-33.05,121.8,Nov-24,Jun-62,32.2,85,N
12018,COOLGARDIE,-30.9586,121.1739,Jan 1893,Feb-20,126.1,99,N
12019,COONANA,-31.0225,123.1617,Aug-35,Aug-76,40.3,98,N
12020,MUNJEROO,-28.2333,120.15,Jan-30,Sep-75,42.3,92,N
12021,MULGAROONA,-28.45,120.5,Jan-30,Aug-60,25.3,82,N
12022,CASHMERE DOWNS,-28.97,119.5686,Dec-19,Dec-02,73.6,89,N
12023,DANIELL,-32.5833,121.5833,Oct-30,Jan-62,17.9,57,N
12024,DAVEYHURST MULWARRIE,-30,120.6,Jun-01,Feb-57,51.2,92,N
12025,DEPOT SPRINGS,-27.9332,120.0577,Jul-26,Dec-23,92.4,95,N
12026,BODALLIN SOUTH,-31.6419,118.9019,May-30,Aug-21,86.6,95,N
12027,EDJUDINA,-29.8119,122.3547,Jan-00,Jan-24,121,97,N
12028,GORYA VALLEY,-33.0372,121.6644,Jul-31,Sep-23,85.3,92,N
12029,FRASER RANGE,-32.0339,122.8017,Jan-01,Jun-23,117.3,96,N
12030,GATHERER,-31.4,119.4,Jul-47,Jan-48,0.6,99,N
12031,GIDGEE BIRRIGRIN,-27.5058,119.515,Jul-06,Mar-53,38.8,83,N
12032,GLENORN,-29.0869,121.6753,Jan-22,Dec-03,77.2,94,N
12033,GRASS PATCH,-33.2256,121.7375,Jan 1897,Feb-09,107.8,96,N
12034,MOUNT WELD HACKS WELL,-28.97,122.5183,Jan-50,Oct-79,16.1,54,N
12035,HIGGINSVILLE,-31.7333,121.6333,Jan 1898,Jan-63,59.4,91,N
12036,IDA VALLEY,-28.7053,120.5058,Jan-23,Jan-94,45.8,64,N
12037,JEEDAMYA,-29.4033,121.2736,Jan-25,Dec-98,72.3,98,N
12038,KALGOORLIE-BOULDER AIRPORT,-30.7847,121.4533,Mar-39,Jan-24,84.9,100,Y
12039,KALGOORLIE POST OFFICE,-30.75,121.4667,Jan 1896,Oct-53,57.8,100,N
12040,KANOWNA,-30.6,121.6,Jan 1896,Oct-52,56.8,100,N
12041,KARONIE,-30.9667,122.5333,Nov-14,Jun-86,67.1,94,N
12042,KATHLEEN VALLEY,-27.5,120.5167,Jan-20,Dec-71,52,100,N
12043,KOOKYNIE,-29.3361,121.4944,Jan-02,Feb-23,103.3,85,N
12044,MUNGLINUP WEST,-33.5547,120.6997,May-02,Jan-24,21.8,100,Y
12045,LAVERTON,-28.6303,122.4072,Oct 1899,Dec-23,118.7,95,N
12046,LEONORA,-28.8879,121.3302,Jan 1898,Aug-20,121.9,99,N
12047,LINDEN,-29.3,122.4,Nov-14,Dec-51,28.1,76,N
12048,MARVEL LOCH,-31.4667,119.4922,Jan-22,Sep-89,63.7,94,N
12049,MATHOURA,-31.2,118.9,Oct-35,Apr-67,18.8,59,N
12050,MELITA,-29.0567,121.4433,Jan-25,Dec-83,51.4,87,N
12051,MENANGINA,-29.8272,121.9158,Mar-27,Feb-11,73.6,88,N
12052,MENZIES,-29.6939,121.0297,May 1896,Jan-24,120,94,N
12053,MOORINE ROCK,-31.3125,119.1281,Nov-24,Nov-04,74.6,93,N
12054,DOBRA SCRITIA,-31.4161,119.0467,Jan-03,Apr-16,107.9,95,N
12055,MOORINE ROCK SOUTH,-31.4,119.1,Jan-35,Dec-48,13.6,97,N
12056,MOREE,-31.5939,119.1419,Jun-29,Oct-23,94.4,100,N
12057,MOUNT HAMPTON,-31.72,119.0883,Jan-37,Jun-85,28.3,58,N
12058,MOUNT KEITH,-27.2792,120.5067,Apr-27,Jul-73,44.5,96,N
12059,MOUNT SIR SAMUEL,-27.6,120.55,Nov-00,Sep-52,51.9,100,N
12060,MOUNT WELD,-28.7744,122.4436,Jan-26,Jan-99,72.1,99,N
12061,MINARA,-28.9169,121.7971,Jun 1898,May-14,111.3,96,N
12062,NAMBI,-28.3897,121.6775,Jan-22,Nov-20,60.8,61,N
12063,NARETHA,-31,124.8333,Apr-15,Jun-68,50,94,N
12064,NOONGAAR,-31.33,118.9672,May-26,Jan-24,94.4,97,N
12065,NORSEMAN,-32.1981,121.7794,Jan 1897,Aug-12,115.7,100,N
12066,ORA BANDA,-30.3764,121.0633,Jan-16,Jul-16,79.9,79,N
12067,PINNACLES,-28.1969,120.4378,Jan-26,Mar-15,79.8,89,N
12068,RANDELL SIDING,-30.9333,122.2333,Jan-15,Jul-68,30,56,N
12069,RED LAKE,-33.1333,121.6833,Jan-29,Apr-63,27.5,80,N
12070,SALMON GUMS,-32.9803,121.6433,Jan-22,Nov-15,81,86,N
12071,SALMON GUMS RES.STN.,-32.9869,121.6239,May-32,Jan-24,91.5,100,Y
12072,SANDSTONE,-27.9872,119.2973,Nov-04,Mar-23,116.3,98,N
12073,SCADDAN POST OFFICE,-33.4425,121.7228,Jan-07,Sep-99,84.7,91,N
12074,SOUTHERN CROSS,-31.2319,119.3281,Jan 1889,Nov-07,118.6,100,N
12075,SPEDDINGUP,-33.5172,121.75,Jan-31,Dec-17,76.8,88,N
12076,THE HERMATIGE,-32.8,121.5,Mar-29,Apr-47,18.2,100,N
12077,I DUNNO,-32.8606,121.7081,Jan-26,Dec-23,95.8,98,N
12078,TRANS RAILWAY 1072,-30.9,122,Aug-40,Jul-68,27.8,99,N
12079,TURKEY HILL NORTH,-31.0378,119.3064,Oct-29,Dec-23,92.7,98,N
12080,LUKENDA,-33.5742,121.6467,Mar-02,Feb-04,2,100,N
12081,WARRALAKIN,-31.0297,118.5597,Oct-25,Nov-07,78.5,95,N
12082,WEEBO,-28.0075,121.0784,May-30,Nov-23,88.4,94,N
12083,WESTONIA,-31.3017,118.698,May-15,Jan-24,108.8,100,N
12084,WIDGIEMOOLTHA,-31.4942,121.5781,Jun 1897,Aug-79,81,98,N
12085,WILBAH,-28.9,120.7,Jul-30,Dec-52,21.2,94,N
12086,WILSONS PATCH,-28.3,121.1833,Sep-06,Nov-72,59.1,89,N
12087,WYE FARM,-33.1,121.6667,Dec-19,Dec-46,26.5,98,N
12088,YAKABINDIE,-27.575,120.5319,Mar-31,Dec-17,79,91,N
12089,YANDAL,-27.5644,121.1483,Jan-25,Feb-96,67.2,94,N
12090,YEELIRRIE,-27.2842,120.0931,Mar-28,Nov-17,89.7,100,N
12091,YOUANMI DOWNS,-28.5567,118.8103,Aug-22,Jun-94,68,94,N
12092,YUINMERY,-28.5606,119.0161,Sep-21,Dec-23,102.3,100,N
12093,YUNDAMINDRA,-29.2472,122.1022,Jan-01,May-16,115.2,100,N
12094,ZANTHUS,-31.0319,123.5669,Jan-14,Feb-92,72.7,93,N
12095,ERLISTOUN,-27.9717,122.325,Oct-06,Aug-70,41.9,66,N
12096,DANDARAGA,-28.1419,119.3058,Jan-12,Aug-01,78.2,87,N
12097,KARMALA,-31.15,118.95,Nov-38,Sep-67,28.9,100,N
12098,WALGOOLAN,-31.3825,118.5617,Sep-35,Sep-83,47.8,99,N
12099,WALGOOLAN NORTH,-31.1828,118.5964,Apr-38,Oct-10,72.3,100,N
12100,WALGOOLAN SOUTH,-31.5,118.6,Jan-05,Jun-72,54,80,N
12101,SEVEN OAKS,-31.3214,118.5475,Sep-22,Feb-23,85.9,85,N
12102,CUNDEELEE,-30.7233,123.425,Oct-40,Nov-81,35.8,87,N
12103,KORONG,-28.62,121.0167,Jan-20,Nov-96,64.5,84,N
12104,MALCOLM,-28.9,121.5,Aug 1897,Nov-50,51.9,97,N
12105,GILGAI FARM,-33.1833,121.65,Jun-46,Jun-74,27.9,99,N
12106,WOOLIBAR,-31.0731,121.665,Oct-00,Jun-20,59.8,50,N
12107,BRAESIDE,-33.4226,121.9898,Jun-02,Jan-23,20.7,100,N
12108,WONGANOO,-27.1397,121.3397,Jul-28,Jul-22,90.1,96,N
12109,YELLOWDINE,-31.3,119.65,Jan 1898,Jun-70,37.3,51,N
12110,GIDGEE GOLD MINE,-27.2533,119.4075,Apr-53,Dec-02,41.9,84,N
12111,MOUNT MARGARET,-28.7967,122.18,Aug 1897,Dec-86,22.9,26,N
12112,ALTONA,-27.5389,119.9861,Nov-56,Jan-02,36.8,81,N
12114,RICHFIELDS,-33.6839,120.6958,Jan-55,Dec-23,67,97,N
12116,MOUNT WELD WILGA,-29.1317,122.5317,Jan-61,Jan-69,7.4,92,N
12117,KAMBALDA WEST,-31.2186,121.6181,Feb-04,Feb-23,18.3,96,N
12118,DIONITE KING,-28.6,121.05,Dec 1897,Dec-29,9.2,29,N
12119,LEINSTER DOWNS,-27.8483,120.6017,Jan-02,Feb-78,33,43,N
12120,YOUANMI,-28.65,119.0167,Aug-11,May-44,31.3,95,N
12122,YILGARN EXP.FARM,-31,119,Jan-28,May-40,12.4,100,N
12123,BARDOC,-30.3,121.3,Jul 1897,May-32,26.4,76,N
12124,BOONDI,-31.2,120.4,Jan-03,Dec-26,22.5,94,N
12125,BOORABBIN,-31.2,120.3,Jul 1894,Oct-64,30.1,43,N
12126,BROAD ARROW,-30.45,121.3,Jan 1898,Dec-26,28.5,98,N
12127,BULLA BULLING,-31.0167,120.8667,Jun 1894,Dec-67,36.3,49,N
12128,BURBANKS,-31,121.1,Oct 1898,Dec-23,25.3,100,N
12129,BURBRIDGE,-31.5,119.6,Jan-17,Oct-26,9.8,99,N
12130,BURTVILLE,-28.8,122.6,Dec-01,Dec-28,22.4,83,N
12131,CLAVERLEY,-33.2,121.7,Jan-14,Oct-27,13.8,100,N
12132,COMET VALE,-29.9,121.1,Jan-15,Oct-25,10.8,100,N
12133,CORINTHIA FARM,-31.2,119.3,Jun-25,Aug-41,13.3,81,N
12134,DARDA,-27.65,121.3667,Jan-04,Dec-28,25,100,N
12136,DESDEMONA,-29.1,121.25,Jan-24,Jul-38,14.6,100,N
12137,DOYLES WELL,-28.5,120.9833,Aug-14,Sep-51,27.7,74,N
12138,DUKETON,-27.65,122.3,Nov-04,Jun-24,10,51,N
12139,DUNDAS,-32.4,121.8,Jan 1896,Sep-27,18.4,58,N
12140,KANGA DOWNS,-33.3619,121.0614,Mar-04,Dec-22,18.6,99,N
12141,WINDARLING,-30.0242,119.28,May-04,Aug-23,19.3,100,N
12142,EULINNA,-30.3,122.5,Apr-23,Jan-40,15.3,91,N
12143,FLEMING GROVE,-33.5667,121.7667,Jul-29,May-37,7.9,100,N
12144,GIBB ROCK,-32.1,119.2,Jun-29,Aug-35,6.3,100,N
12145,GOONGARRIE,-30.05,121.15,Jan 1896,Oct-26,30.8,100,N
12146,GRASS PATCH EAST,-33.25,121.8167,Jun-29,Nov-35,6.5,100,N
12147,HIRSH FARM,-31.6,119.3,Sep-30,Mar-37,6.6,100,N
12148,HOLLETON 1,-31.9,119,Jul-29,Jun-39,9.4,94,N
12149,HONEY LEA,-33.2,121.65,Aug-35,Aug-45,8.8,87,N
12150,JILBADJI,-31.8,118.9,Sep-05,Sep-35,28.8,96,N
12151,KARALEE,-31.3,119.85,Jan 1898,Jun-29,27.2,86,N
12152,KOORARAWALYEE,-31.2608,120.0217,Jun 1894,Jul-23,36.3,28,N
12153,KUMARL,-32.8,121.7,Jun-28,Feb-48,10.8,55,N
12154,KURNALPI,-30.5,122.2,Jan 1897,Jan-47,45.2,90,N
12155,COBBANCO,-29.2667,120.6,Mar-22,May-39,15.8,91,N
12156,LAKE DARLOT,-27.9,121.3,Aug 1898,Apr-26,20,72,N
12157,LAKE VIEW,-32.6,121.5,Jun-03,Mar-23,19.8,100,N
12158,LAWLERS,-28.0833,120.55,Mar 1896,Aug-48,51.7,98,N
12159,LLANGWIN FARM,-33.25,121.5167,Oct-25,Nov-33,8.2,100,N
12160,LONE PINE,-31,119.5,Jan-27,Aug-35,8.7,100,N
12161,MARCHLAND FARM,-31.7,119.1,Aug-29,Dec-34,5.4,100,N
12162,MOUNT MORGANS,-28.75,122.1,Jan-00,Dec-42,43,100,N
12163,MOUNT IDA,-29.05,120.5,Jan-13,May-41,28.2,99,N
12164,MOUNT JACKSON,-30.2633,119.2458,Jan 1897,Mar-04,33.9,32,N
12165,MULLINE,-29.8,120.5,Jan-01,Dec-42,33.5,80,N
12166,NIAGARA,-29.4,121.4,Oct 1896,Jul-12,15.6,98,N
12167,NOONGAR 3,-31.2,118.9833,May-26,Dec-36,10.7,100,N
12168,NOONGAR NORTH,-31.1333,118.9,May-25,Dec-35,10.2,95,N
12169,PARKERS RANGE 1,-31.6,119.6,Jan 1891,Feb-28,22.6,61,N
12170,PARKERS RANGE 2,-31.6,119.7,Mar-30,Mar-44,13.7,97,N
12171,ALFRED DOWNS,-29,120,Jul-26,Dec-37,11.5,100,N
12172,QUANDINNIE,-29.9833,122.0667,Jan-05,Apr-16,9.3,82,N
12173,BONNIE DOON,-33.5,121.6667,Mar 1899,Jun-39,37.1,92,N
12174,SIBERIA,-30.25,120.95,Jun-01,Oct-30,29,99,N
12175,SOUTHERN HILLS,-32.1961,122.8297,Oct-01,Nov-13,44.7,40,N
12176,STURT MEADOWS,-28.6781,120.9706,Oct 1899,Dec-22,116,94,N
12177,TAMPA,-29.2,121.45,Jun-00,Jul-38,36.7,96,N
12178,TROY,-31.55,119.25,Apr-30,Jan-44,11.1,80,N
12179,TRURAY,-33.25,121.9333,Apr-29,Jan-35,5.8,100,N
12180,TURKEY HILL,-31.0167,119.3,May-25,Feb-36,10.8,100,N
12181,VARAMEAD,-31.5,119.1,Feb-29,Mar-37,7.8,96,N
12182,WARRABA 2,-30.95,118.8,Jun-28,Aug-36,8.3,100,N
12183,WATERDALE,-31.3,121.5,Oct-02,Dec-17,15.3,100,N
12184,WHEATLEY,-31.1,119.5,May-26,Mar-36,9.9,100,N
12185,WOOLANGIE,-31.2,120.5,Jul 1894,Nov-30,28.2,77,N
12186,YARRI,-29.7833,122.3667,Jan-22,Oct-39,15.2,85,N
12187,YERILLA,-29.4711,121.8272,Jan 1897,Nov-18,120.3,99,N
12188,FORRESTANIA CROSSROAD,-32.41,119.7467,Sep-59,Mar-68,6.3,73,N
12189,FORRESTANIA CROSSROADS,-32.4217,119.5217,Sep-59,Mar-68,6.4,75,N
12190,PETER'S SOAK,-33.15,120.5833,Apr-64,Mar-68,0.7,17,
12191,KANANDAH,-30.8958,124.8658,Sep-63,Feb-16,39.9,76,N
12192,HYDEN 1,-32.2333,120.4,Jan-63,Mar-66,0.6,18,
12193,HYDEN 2,-32.2167,120.5,Jan-63,Mar-66,0.6,18,
12194,HYDEN 3,-32.32,120.0517,Jan-63,Oct-66,0.7,17,
12195,NINETY MILE TANK 4,-32.8,120.7167,Mar-63,Apr-68,1.8,34,
12196,LAKE KING 5,-32.8,120.7167,Apr-63,Apr-68,1.7,33,
12197,DANIEL ROAD,-32.9833,120.25,Apr-63,Apr-68,1.7,33,
12198,SCADDAN WEST,-33.3844,121.4494,May-64,Dec-23,59.4,100,N
12199,PARKESTON,-30.7289,121.4978,Jan-62,Sep-86,24.3,98,N
12200,CONSTANCE UNA,-31.7833,119.6,Jun-65,Jun-74,5.6,61,N
12201,YOUANMI VALLEY,-31.7036,119.2378,Oct-65,Dec-22,57.3,100,N
12202,YERBILLON,-31.3875,118.7347,Sep-56,May-87,21.1,69,N
12203,GHOOLI,-31.255,119.4544,Jan-52,Oct-90,38.4,99,N
12204,DEDARI,-31.0931,120.6908,Jan-58,Apr-15,43.5,76,N
12205,RIVERINA,-29.7514,120.5669,Jan-64,Sep-09,34.9,76,N
12206,MOOLARA,-32.2,122.7,Aug-66,Jul-73,6.7,95,N
12207,SIMON HILLS,-31.8333,123.05,Aug-66,Jul-73,6.4,92,N
12208,YARDELLA,-31.95,122.9,Jul-66,Jul-74,7.7,95,N
12209,COSMO NEWBERY,-27.9833,122.9167,Jan-50,Dec-70,21,100,N
12210,LAKE MASON,-27.5878,119.5211,Jan-67,Jul-02,29.3,82,N
12211,JEEDAMYA WOOLSHED,-29.4833,121.2667,Jul-67,Apr-73,5.8,100,N
12212,KITCHENER,-31.0319,124.1889,Oct-67,Sep-76,9,100,N
12213,YEELIRRIE O.S.,-27.1147,119.8492,Jan-69,Jul-82,11.8,86,N
12214,DEPOT SPRINGS 2,-27.9642,120.2428,May-67,Sep-80,13.4,100,N
12215,DEPOT SPRINGS TANK,-27.9897,119.93,May-67,Sep-80,13.4,100,N
12216,BANDYA,-27.7353,122.1761,Jan-63,Oct-74,11.7,99,N
12217,GLENGILLY,-31.5333,119.1,Jan-68,Apr-74,6.3,100,N
12218,MOUNT REMARKABLE,-29.3333,121.9833,Aug-21,Aug-24,2.3,76,N
12219,YAMARNA,-28.1664,123.6556,Dec-67,Jun-98,28.6,93,N
12220,COWARNA DOWNS,-31.0089,122.3567,Jan-68,Feb-20,51.4,98,N
12221,BODALLIN,-31.3692,118.8361,Sep-68,Dec-14,43.8,95,N
12222,GILGAI,-31.25,119.95,Nov-25,Oct-69,6.7,15,N
12223,LORT RIVER,-33.2204,121.3532,Jan-69,Jan-24,55,100,N
12224,GOLDEN RIDGE,-30.8483,121.655,Jan-15,Mar-78,11.3,18,N
12225,BEETE,-32.7,121.7167,Jan-31,Jul-31,0.6,100,N
12226,BODALLIN NORTH,-31.1664,118.8878,Jun-69,Sep-17,47.8,99,N
12227,KOOLYANOBBING,-30.8183,119.5197,Jan-67,Nov-23,29.2,51,N
12228,CAMPION NORTH,-30.9667,118.5167,Aug-33,Jun-36,1.7,57,N
12229,CAMPBELL DOWNS,-29.9333,119.7833,Jan-29,Jul-29,0.6,100,N
12230,IVES FIND,-31.3667,121.8333,Aug-21,Jan-42,8.4,41,N
12231,GOLDEN VALLEY,-30.8667,119.0333,Jan-20,Dec-20,1,100,N
12232,BRISCOE VALE,-30.9833,118.9667,Feb-25,Nov-29,4.8,98,N
12233,HILLCREST,-31.2,119.15,Jul-27,Sep-36,7.2,77,N
12235,WYOMING,-33.1167,121.5,Apr-25,Oct-29,4.6,100,N
12236,BRONTE,-31.25,119.5,Feb-27,Dec-30,3.9,100,N
12237,BRYN AWELON,-32.7167,121.7,Aug-30,Oct-32,2.1,92,N
12238,JERICHO FARM,-31.55,119.25,Feb-44,Aug-45,1.6,100,N
12239,BULGA DOWNS,-28.4967,119.7436,Dec-24,Jan-24,99.2,100,N
12240,ILKURLKA,-28.3514,127.5169,Jan-05,Dec-23,18,95,N
12241,LEONORA AERO,-28.8789,121.3186,Feb-07,Jan-24,17,100,Y
12242,DIEMALS,-29.6694,119.3031,Jan-70,Nov-93,23.9,100,N
12243,HOLLETON 2,-32,119,May-43,Dec-48,5.7,100,N
12244,FIFTEEN MILE CONDENSER,-32.0333,121.6667,Jan-07,Mar-09,2.3,100,N
12245,GIN ROCKS,-29.7,121.7,May-28,Jul-32,3.7,86,N
12246,JILLIBY,-33.6047,121.9206,Jan-71,Dec-91,21,100,N
12247,GINDALBIE,-30.2819,121.7606,Jan-18,Nov-23,103.5,98,N
12248,SWAN LAGOON,-33.2667,121.65,Jan 1898,Dec-11,13.9,99,N
12249,L.S.D.MINE,-31.6333,119.5667,Sep-35,Jan-37,1.4,100,N
12250,MOUNT CELIA,-29.4667,122.4833,May-06,Sep-10,3.5,79,N
12251,GOLDEN DOWNS,-28,123.45,May-29,Sep-30,1.4,100,N
12252,POISON CREEK,-28.2333,120.9167,Mar-06,Dec-08,2.4,85,N
12253,COONANA,-31,123,Nov-14,Dec-17,3.2,100,N
